Mon May  9 16:53:45 2022    Output.dat

         39877722 function calls (38825456 primitive calls) in 20.821 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       64    0.000    0.000    0.002    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\ticker.py:1986(_validate_steps)
        5    0.000    0.000    0.000    0.000 {built-in method nt._getfinalpathname}
      214    0.000    0.000    0.004    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\transforms.py:1480(transform)
     1076    0.000    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\pyplot.py:812(_auto_draw_if_interactive)
      198    0.000    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\transforms.py:2678(__init__)
      418    0.000    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\text.py:1195(set_verticalalignment)
      176    0.000    0.000    0.002    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\path.py:99(__init__)
      542    0.000    0.000    0.007    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\markers.py:219(__init__)
     1056    0.000    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\font_manager.py:1304(<genexpr>)
      374    0.000    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\cbook\__init__.py:1277(is_math_text)
       60    0.000    0.000    0.004    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\axis.py:349(_apply_params)
      326    0.000    0.000    0.005    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\transforms.py:2032(rotate_deg_around)
       48    0.000    0.000    0.000    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\transforms.py:2839(nonsingular)
 1452/942    0.000    0.000    0.002    0.000 {built-in method builtins.hash}
      176    0.000    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\_api\__init__.py:132(check_shape)
    48/32    0.000    0.000    0.040    0.001 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\axis.py:475(__init__)
       56    0.000    0.000    0.006    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\backends\backend_agg.py:224(draw_text)
    48/32    0.000    0.000    0.039    0.001 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\axis.py:414(__init__)
  444/160    0.000    0.000    0.015    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\axes\_base.py:839(get_xaxis_transform)
      222    0.000    0.000    0.002    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\text.py:936(set_color)
     2745    0.000    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\transforms.py:222(<lambda>)
      510    0.000    0.000    0.003    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\colors.py:124(_check_color_like)
     1170    0.000    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\artist.py:242(convert_xunits)
      369    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      418    0.000    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\text.py:957(set_horizontalalignment)
      847    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FF9745FCC90}
      510    0.000    0.000    0.003    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\colors.py:111(is_color_like)
      713    0.000    0.000    0.001    0.000 {built-in method builtins.any}
      888    0.000    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\lines.py:1234(set_ydata)
      548    0.000    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\artist.py:426(set_transform)
      100    0.000    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\artist.py:1138(update_from)
      768    0.000    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\font_manager.py:1122(_expand_aliases)
      218    0.000    0.000    0.007    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\text.py:1251(set_fontproperties)
     1640    0.000    0.000    0.000    0.000 C:\Users\simon\anaconda3\envs\numba\lib\enum.py:631(__new__)
